Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA)
0.491664410,96.61719,199.96875,4.081875,267.5
1.492150784,96.61719,199.875,4.07875,275
2.492584705,96.60547,199.875,4.07875,258.75
3.493890286,96.59375,199.78125,4.08,266.875
4.493883133,96.59375,200.0625,4.078125,265.625
5.494558811,96.58203,200.34375,4.076875,284.375
6.494711876,96.58203,200.34375,4.0775,273.75
7.494791985,96.56641,200.0625,4.07625,278.125
8.495288849,96.56641,200.34375,4.07625,276.5625
9.496031284,96.55469,200.71875,4.07625,271.875
10.496625424,96.55469,200.71875,4.080625,256.875
11.497036934,96.54297,200.4375,4.07875,265.625
12.498269558,96.54297,200.34375,4.076875,294.0625
13.499542713,96.53125,199.78125,4.0775,282.8125
14.500587940,96.53125,199.96875,4.078125,269.0625
