Time (s),X (g),Y (g),Z (g)
0.000000000,-0.004147859,-0.003825263,0.01431086
0.005018711,0.00238413,0.0006652081,0.0148111
0.010036469,-0.00610447,0.001771239,0.0135291
0.015054703,0.001734666,0.00301081,0.01461588
0.020072460,0.0002881573,-0.003017283,0.01743296
0.025091171,0.006361803,-0.003578032,0.01440349
0.030108929,0.002156313,0.0004896864,0.01697947
0.035127163,-0.006187701,0.002299115,0.01968848
0.040144920,-0.002935158,-0.0001823457,0.0124987
0.045163631,0.006489531,-0.0001406888,0.01731203
0.050181389,-0.00237646,3.034202E-05,0.01637562
0.055199146,0.001866981,-0.004087161,0.01639454
0.060217381,-0.0002841149,-0.007646224,0.01382507
0.065236092,-0.001641485,-0.002324276,0.008165656
0.070253849,-0.001503411,-0.003687709,0.01463448
0.075271606,0.001200346,-0.003609672,0.01972285
0.080289841,0.0001555406,-0.002605155,0.01475959
0.085308552,-0.004737693,0.00310914,0.01315069
0.090326309,0.001631094,0.003317991,0.01194369
0.095344067,-0.003437727,0.001934755,0.01489991
0.100362301,-0.001807752,-0.0003611511,0.01254299
0.105381012,-0.001748361,0.00575011,0.01394378
0.110398769,-0.001351605,0.001674202,0.01611153
0.115416527,-0.003537601,0.006808186,0.009791614
0.120434761,0.002724981,-0.0002230878,0.01210208
0.125452995,-0.000429912,0.00270927,0.01340617
0.130471230,-0.002924107,0.004469609,0.0162228
0.135488987,0.001000949,-0.004140838,0.01305764
0.140507698,0.002616632,0.004120869,0.01442998
0.145525456,-0.001109171,0.0009619397,0.01192882
0.150543690,0.002546379,-0.001004462,0.02170763
0.155561447,0.001551367,-0.00236204,0.008298036
0.160580158,0.003542119,-0.0004928934,0.01543796
0.165597916,-0.0007366017,0.004889322,0.01414218
0.170616150,0.00424354,-0.002710621,0.01346434
0.175633907,-0.001093295,0.002601233,0.01212411
0.180652618,0.002337769,0.0007897604,0.01152066
0.185670376,0.003844371,-0.0002410917,0.01629233
0.190688610,-0.0008295737,0.001292104,0.01278307
0.195706368,-0.00349634,-0.00692788,0.01760388
0.200725079,0.003095458,-0.0009876816,0.01206519
0.205742836,-9.64026E-05,-0.002543341,0.0132096
0.210761070,-0.0001496389,-0.001965988,0.01677315
0.215778828,-0.0005617449,0.001606648,0.01208694
0.220797539,-0.00183794,-0.004338162,0.01273328
0.225815296,0.005086413,0.0008670832,0.02025052
0.230833530,0.0001481744,-0.001389236,0.01235913
0.235851288,0.001992451,-0.007697653,0.01538269
0.240869999,-0.001092024,0.0001251022,0.01677022
0.245887756,-0.0007050615,0.001134677,0.02006624
0.250905991,-0.003229182,0.004892283,0.01781149
0.255923748,-0.00193358,-0.002891401,0.01823337
0.260942459,-0.004851498,-0.008353496,0.01375604
0.265960217,0.003013401,0.001936452,0.01361658
0.270978451,0.004140155,0.005712844,0.0186645
0.275996208,-0.004012631,0.001588995,0.01304004
0.281014919,-0.003228048,-0.006929361,0.01225349
0.286032677,-0.0002008169,0.0005157029,0.02049369
0.291050434,-0.007376246,-0.002616763,0.008522969
0.296069145,0.003636924,0.006980749,0.0144828
0.301087380,0.00280225,0.006385321,0.01494314
0.303596020,-0.0003991127,0.005184313,0.01236937
0.308614254,0.0004778157,-0.002286681,0.01185238
0.313632488,-0.005261213,0.003445987,0.01687614
0.318650246,-0.006948808,-0.003392599,0.01526346
0.323668480,-0.004514255,-0.01086798,0.01095601
0.328686714,-0.001179047,0.008264972,0.01264713
0.333704949,0.007170446,0.007801638,0.01853326
0.338722706,-0.002595884,-0.004978544,0.01159845
0.343740940,0.0007706843,-0.007871684,0.01071409
