Time (s),W,X,Y,Z
0.000000000,0.9717832,0.09716543,-0.2060046,-0.01964951
0.020072460,0.9717928,0.09713737,-0.2059713,-0.01965708
0.040144920,0.9717997,0.09712283,-0.2059472,-0.01964707
0.060217381,0.9718038,0.09712047,-0.2059292,-0.01964159
0.080289841,0.9718029,0.0970817,-0.2059513,-0.01964813
0.100362301,0.9718074,0.09699075,-0.2059716,-0.01966439
0.120434761,0.9718158,0.09693468,-0.2059549,-0.01969308
0.140507698,0.9718195,0.09694356,-0.2059319,-0.01971442
0.160580158,0.9718193,0.09698682,-0.2059087,-0.01974624
0.180652618,0.9718205,0.09703136,-0.2058781,-0.01979032
0.200725079,0.9718183,0.09706163,-0.2058713,-0.01982763
0.220797539,0.9718188,0.09700223,-0.2058917,-0.01987974
0.240869999,0.9718204,0.09689952,-0.2059272,-0.01992835
0.260942459,0.9718184,0.09676175,-0.205999,-0.01995816
0.281014919,0.9718214,0.09656507,-0.2060724,-0.02000187
0.298579693,0.971823,0.09639625,-0.206139,-0.02005487
0.318650246,0.9718222,0.09626751,-0.2061981,-0.0201032
0.338722706,0.9718244,0.09612657,-0.2062485,-0.02015377
0.358795166,0.9718188,0.09598918,-0.2063333,-0.02021284
0.378867626,0.9718177,0.09586471,-0.206391,-0.02026728
0.398940086,0.9718154,0.0957629,-0.2064441,-0.02031718
0.419012547,0.9718139,0.09567392,-0.2064876,-0.02036659
0.439085007,0.9718138,0.09561411,-0.2065125,-0.02040289
0.459157467,0.9718188,0.09557509,-0.2065059,-0.02041477
0.479229927,0.9718226,0.0955297,-0.2065074,-0.02043161
0.499302387,0.9718268,0.09547584,-0.2065113,-0.02043874
0.519374848,0.9718343,0.09540126,-0.2065098,-0.02044758
0.539447308,0.9718485,0.09530595,-0.2064856,-0.02046083
0.559519768,0.9718544,0.09520459,-0.2065038,-0.02047325
0.579592228,0.9718595,0.09507716,-0.2065367,-0.02049391
0.599665165,0.971859,0.09502048,-0.2065618,-0.0205214
0.619737625,0.9718516,0.0950103,-0.2065997,-0.02053895
0.639810085,0.9718427,0.09499248,-0.2066478,-0.02055992
0.659882546,0.9718359,0.09499449,-0.2066778,-0.02056696
0.679955006,0.9718239,0.09507541,-0.2066976,-0.02056154
0.700027466,0.9718121,0.09516425,-0.2067143,-0.02054324
0.720099926,0.9718028,0.09519197,-0.2067469,-0.02052569
0.740172386,0.9717939,0.09519245,-0.2067888,-0.02051559
0.760244369,0.9717853,0.09517848,-0.2068364,-0.02051195
0.780316830,0.9717867,0.09510867,-0.2068621,-0.02051123
0.800389290,0.9717897,0.09504603,-0.2068764,-0.02051552
0.820461750,0.9717997,0.09504289,-0.2068312,-0.02050873
0.840534210,0.9718061,0.09509157,-0.2067814,-0.02048373
0.860606670,0.9718131,0.09520912,-0.2066979,-0.02045166
0.880679131,0.9718272,0.0952922,-0.2066,-0.0203861
0.900751591,0.971841,0.09536506,-0.2065048,-0.02034816
0.920824051,0.9718549,0.09538566,-0.2064342,-0.02030582
0.940896511,0.9718711,0.09540146,-0.206356,-0.02024651
0.960968971,0.9718806,0.09544261,-0.2062972,-0.0202008
0.978532314,0.9718855,0.09545995,-0.2062672,-0.0201859
0.998604298,0.9718891,0.09542382,-0.2062665,-0.02018803
1.018676758,0.9719008,0.0953352,-0.2062516,-0.0202038
1.038749218,0.9719054,0.09530072,-0.2062441,-0.02022224
1.058821678,0.9719112,0.09522509,-0.2062489,-0.02024641
1.078895092,0.9719113,0.0951857,-0.2062646,-0.02026688
1.098967552,0.9719142,0.09516059,-0.2062615,-0.02027499
1.119040012,0.9719155,0.09512314,-0.2062696,-0.02030621
1.139112473,0.971912,0.09510872,-0.2062905,-0.0203315
1.159184456,0.9719177,0.094997,-0.2063139,-0.02034497
1.179256916,0.9719157,0.09491257,-0.2063601,-0.02036723
1.199329376,0.9719141,0.09485201,-0.2063929,-0.02038802
1.219401836,0.971919,0.09483516,-0.2063763,-0.0204014
1.239474297,0.9719268,0.09484015,-0.2063361,-0.02041023
1.259546757,0.9719408,0.09483672,-0.2062737,-0.02039569
1.279619217,0.9719529,0.09481959,-0.2062263,-0.02037549
1.299691677,0.9719565,0.09488636,-0.2061806,-0.02035668
1.319764137,0.9719464,0.09495575,-0.2061958,-0.02035909
1.339836598,0.9719341,0.09493789,-0.2062613,-0.02037086
1.359909058,0.9719207,0.09492742,-0.2063291,-0.02037213
1.379981518,0.9719217,0.0948527,-0.2063581,-0.02037381
1.400053978,0.9719229,0.09481119,-0.206372,-0.0203744
1.420126438,0.9719225,0.09485003,-0.2063576,-0.02035791
1.440198898,0.97192,0.09489738,-0.2063476,-0.0203573
1.460271359,0.9719132,0.09492419,-0.206365,-0.02038001
1.480343819,0.9719046,0.09493563,-0.2063976,-0.02040047
1.500416279,0.9719021,0.09494852,-0.2064037,-0.0204048
1.520488739,0.9718973,0.09498774,-0.2064099,-0.02038931
1.540560722,0.9718961,0.09497893,-0.206423,-0.02035494
1.560633183,0.9718932,0.09496734,-0.2064427,-0.02034302
1.580705643,0.9718932,0.0949543,-0.2064508,-0.0203221
1.600778103,0.9718982,0.09492299,-0.2064429,-0.0203079
1.620850563,0.9718955,0.09490875,-0.2064624,-0.02030835
1.640923023,0.9718943,0.09490389,-0.2064699,-0.0203064
1.660995484,0.9718922,0.09492415,-0.2064724,-0.02029278
1.678559303,0.9718872,0.09493725,-0.2064895,-0.02029751
1.698631763,0.9718787,0.09496488,-0.2065171,-0.0202962
1.718707085,0.9718766,0.09497645,-0.2065212,-0.02030012
1.738776684,0.9718733,0.0950167,-0.2065189,-0.02029137
1.758849144,0.971869,0.09505026,-0.2065238,-0.02028652
1.778921604,0.9718664,0.09507676,-0.2065257,-0.02027442
1.798994064,0.9718656,0.09508199,-0.2065274,-0.02027132
1.819066524,0.9718643,0.0950743,-0.2065379,-0.02026099
1.839138985,0.9718664,0.09503168,-0.2065467,-0.02026665
1.859211445,0.9718664,0.09503511,-0.2065473,-0.0202451
1.879283905,0.9718677,0.09506076,-0.2065312,-0.02023255
1.899356365,0.9718642,0.09508934,-0.2065337,-0.02023607
